,chemicalFormula,mpID,volume,volumeUnits,formationEnergy,formationEnergyUnits,bandGap,bandGapUnits,density,densityUnits,crystalSystem
78,CsCeCuS3,mp-510569,328.4219852874876,$\AA^3$,-1.4194322745312498,eV/atom,0.7010999999999998,eV,4.37619238126394,g/cm$^3$,orthorhombic
79,O2,mp-12957,107.64379009571307,$\AA^3$,0.0,eV/atom,1.3309,eV,1.9744846508302543,g/cm$^3$,monoclinic
80,HoAgSe2,mp-12955,401.0982505553894,$\AA^3$,-1.2065798261718754,eV/atom,1.2728000000000002,eV,7.1326650312252955,g/cm$^3$,orthorhombic
81,Sr2NiTeO6,mp-18908,128.5212099086184,$\AA^3$,-2.26969501775,eV/atom,2.1132000000000004,eV,5.911444818777719,g/cm$^3$,monoclinic
82,CuBS2,mp-12954,113.79510977992868,$\AA^3$,-0.3447851949479164,eV/atom,1.7433999999999994,eV,4.041703619729504,g/cm$^3$,tetragonal
83,CeO2,mp-20194,40.85964193172021,$\AA^3$,-3.945348217499999,eV/atom,1.8647,eV,6.9947584160852765,g/cm$^3$,cubic
84,RbInS2,mp-601861,996.7571660137256,$\AA^3$,-0.9590658026562502,eV/atom,2.0972,eV,3.52400959590437,g/cm$^3$,monoclinic
85,AlAgS2,mp-5782,173.81530770430223,$\AA^3$,-0.7609324382812499,eV/atom,1.9002999999999997,eV,3.8018929954985516,g/cm$^3$,tetragonal
86,AlCuS2,mp-4979,149.4850986703389,$\AA^3$,-0.8123863407812495,eV/atom,1.6937000000000006,eV,3.4359928120690664,g/cm$^3$,tetragonal
87,AlAgSe2,mp-14091,202.9421621734153,$\AA^3$,-0.621158378046875,eV/atom,1.1360000000000001,eV,4.791074862214912,g/cm$^3$,tetragonal
88,AlAgTe2,mp-14092,252.15506729920435,$\AA^3$,-0.35943066499999965,eV/atom,1.0465999999999998,eV,5.137257632840915,g/cm$^3$,tetragonal
89,Ba3(SnP2)2,mp-601867,1136.8803837322487,$\AA^3$,-0.7655697249867726,eV/atom,0.8645999999999998,eV,4.517935936035659,g/cm$^3$,monoclinic
90,GaAgS2,mp-5342,177.68537908135505,$\AA^3$,-0.5115376832812499,eV/atom,0.9598,eV,4.517957107174765,g/cm$^3$,tetragonal
91,CsInS2,mp-559459,1068.040347883421,$\AA^3$,-0.9792368598437502,eV/atom,2.1704,eV,3.8788406865293843,g/cm$^3$,monoclinic
